dystans_cm,powtorzenie,nr_probki,h_tors
1000.0,3,19,25.5
1000.0,3,20,26.0
1000.0,3,21,25.5
1000.0,3,22,25.0
1000.0,3,23,25.5
1000.0,3,24,25.0
1000.0,3,25,24.0
1000.0,3,26,25.5
1000.0,3,27,25.5
1000.0,3,28,25.5
1000.0,3,29,25.5
1000.0,3,30,27.0
